SARS-CoV-2_L2FC,padj_SARS-CoV-2
ADAMTS1,0.1340250418,0.5336031263
WWTR1,-0.2296119736,0.2771707916
LRP10,0.0765737697,0.8131610312
YME1L1,-0.1149454686,0.5389576047
SOWAHC,-0.0475086812,0.8861783093
STRN3,-0.0874093369,0.7428175876
GPD2,0.0651040109,0.8567061082
STS,0.1500275686,0.4814565171
CDYL,0.1064738424,0.6753755375
HIRA,0.1896832352,0.6172038234
SMAD4,-0.0811695836,0.7905393232
SLC9A7,0.2212852071,0.1362879402
STAT3,0.179940164,0.2002022143
TRIP12,0.018774677,0.9431158845
TMEM87A,0.0354496212,0.8893085969
TUFT1,0.2159087024,0.2497673453
NIPA2,0.0526520793,0.9173959976
UBASH3B,-0.0190944047,0.9649144004
PSAP,-0.1644472172,0.2742425203
MSL3,0.0018601772,0.9959357426
UBFD1,0.1248627287,0.541999776
ELF3,0.0050467759,0.9901138221
BTBD1,-0.1987526937,0.3788621774
CSNK1A1,-0.1934392227,0.40774496
R3HCC1L,-0.1062843193,0.7278705053
RAB7L1,-0.1081520332,0.7183098403
XPR1,-0.1736019567,0.5114720632
HCCS,-0.0479237764,0.9108641168
PGM1,-0.0585894318,0.7942483659
BAG1,-0.028205891,0.9452687716
ATP6V1B2,-0.0944351692,0.6860132002
PSEN1,0.1457089583,0.3406264116
CANT1,0.2013159892,0.1539460772
STAU1,0.0747516118,0.7605299631
CUEDC1,0.0599457555,0.8399594518
CTNNB1,0.016506734,0.9439100405
CHCHD4,0.291000422,0.2223306138
EIF2D,0.0254097245,0.9428681122
FAM219B,0.0454923571,0.8740249078
CDK4,-0.0393052609,0.937085018
MRI1,-0.1565677473,0.6361775224
PYCR2,-0.0042427763,0.9930472205
RARG,-0.002640817,0.99537126
ARHGEF4,0.0289962793,0.9496412904
LARP7,-0.0512003994,0.8907662153
VRK1,0.1083595255,0.8357354995
RIN1,-0.1735817045,0.6081535187
ORC3,-0.1050579294,0.7915984709
WDR73,0.1085441748,0.859374931
BLCAP,0.0520605696,0.8373354696
AIM1L,0.3302724061,0.0781532915
C19orf47,0.0962656832,0.8676980375
LEO1,-0.0312138303,0.9282536298
CCNE1,-0.0483328232,0.9255175193
MPI,0.1738506849,0.3432414636
ORAI3,-0.1380815398,0.6390921248
PARP2,0.1301285897,0.7636582839
PCYT2,0.0397625556,0.9422697368
TMEM177,-0.1942828551,0.6651917158
PLXNB3,-0.046768314,0.937085018
CDC42BPG,0.0098560433,0.989115022
PAGR1,0.0519330809,0.9160905808
C1orf35,-0.0903845383,0.9016079707
LOC90784,-0.0429024053,0.9212049727
SLC25A10,0.1039494961,0.8783054234
FUT3,0.3552649719,0.0864405143
PACSIN3,-0.0522622853,0.9102771168
KIF22,-0.1457114693,0.6755524951
REEP4,-0.0993261321,0.7854338571
DANCR,-0.0832444183,0.8510088543
LPAR5,-0.0228661848,0.9737004877
KNSTRN,0.2056504328,0.3491194551
ESRP2,0.0280219744,0.937085018
SAC3D1,0.1363056308,0.7742972584
AZI1,-0.1956104071,0.7522938136
ZNRF1,0.1198436852,0.7784986342
ARHGAP40,0.3837489263,0.1995162871
MEIS1,-0.148099884,0.7145021958
MVK,0.1260664118,0.6024255628
THEM6,0.3156672823,0.5978097816
THAP11,0.1810927832,0.7414686906
SULT1A1,-0.0594070104,0.9072823955
ANKRD13B,0.1930222063,0.5451866697
PLEKHH3,-0.2278280549,1
MLF1IP,-0.4040547686,0.3381400348
ALAD,-0.2777044669,0.0997818625
MCM3,-0.078557476,0.7972391689
OVOL2,-0.0719520166,0.9291777413
SHMT1,-0.1279040108,0.729633238
MUTYH,-0.1129333191,0.8788364373
FAM216A,0.1701795815,0.7871212463
FAM86C1,0.0788518481,0.9020992914
CCDC88B,0.0467885688,0.9479169688
TRIM6,-0.2408174516,0.5632623252
SMO,0.0111644205,0.9843520732
RECQL4,0.2250281485,0.7463508865
RMI2,-0.3334332048,0.5694725055
POC1A,0.06760514,0.9343688932
PITPNA-AS1,-0.2296483151,0.7156591486
FANCE,-0.2341219734,0.6574860501
SAPCD2,0.0814714945,0.928288255
BCAS1,-0.1465649402,0.7325391543
MAGEE1,-0.0307412462,0.9666906739
PAQR8,-0.3001956454,0.5438366495
TRIP13,0.0723675429,0.9009419529
RHNO1,0.0372667554,0.9412204605
C17orf53,-0.0299483264,0.9729910949
CHTF18,0.0544289197,1
MCM4,-0.2597007694,0.0781532915
ZWINT,-0.2123639409,0.5340613575
MND1,-0.3929112249,0.5095307034
C16orf59,0.0529824494,0.9611179573
UHRF1,0.2747367622,0.5132183363
EPN3,-0.3178866033,0.301145797
LURAP1L,-0.2397069182,0.4009696849
PADI1,0.2330950775,0.3517993967
DDX11,0.1151860147,0.7917477558
OSBPL7,-0.3033827788,0.2339294838
TACC3,-0.1043486686,0.8054577439
PP14571,0.6416558484,0.0833749417
FAM111B,-0.2480647682,0.6116469621
HILPDA,0.171306647,0.4587269394
E2F8,-0.1734840135,0.7860968236
IDI2-AS1,0.2352965903,1
E2F1,0.1759755909,0.8167684119
MTFR2,-0.0859328386,0.9292209583
CDC45,0.0997546455,0.8836650886
S1PR5,-0.2536424916,0.2620716414
CDCA3,-0.0543977729,0.9431158845
MCM10,-0.1338121152,0.8420025944
BLM,-0.1387605877,0.8660185328
CD274,0.0448231499,0.9212049727
PDZD2,0.1424809971,0.6488718133
ITGA2,-0.0433130204,0.891088257
PMAIP1,-0.2871781056,1
FAM46A,-0.2850844954,0.505473662
GADD45B,0.069372952,0.8936473027
CCRN4L,0.2195322721,0.4066072987
PCGF5,0.0571738704,0.9251329557
LOC554223,-0.1784574292,0.7943108607
CPEB2,0.0874697564,0.8668618536
ARL5B,-0.077841869,0.9291635894
LIFR,-0.0428072827,0.9663280896
XRN1,-0.2154152876,0.4423755048
ZPLD1,0.0135375734,0.9905170524
TXNIP,-0.0780886092,0.6397487613
RRAD,0.2936745463,0.6234739155
ETV3,0.2746271549,0.3245318362
JHDM1D,0.0908854965,0.8095166407
ZBTB10,-0.1747374439,0.8037575873
MAN1A1,-0.0241687761,0.9743966531
PDP1,0.0029876531,0.9930473137
FOXN2,0.0806950305,0.9026575652
TMEM47,-0.3209346545,0.6030527716
CREB5,0.3239572976,0.5486756047
FEM1C,-0.1756815648,0.5602072436
NEK7,-0.2497140219,0.4954547885
GCNT4,-0.6258648017,0.0850180742
DCP1A,0.0886439437,0.8053763539
PHLDB2,-0.0883051581,0.7572678361
STARD4,-0.080887752,0.8866018512
MIR100HG,-0.0698510259,0.9191782057
WFDC2,-0.023187322,0.9802686554
SLC1A1,-0.1078548293,0.8549280988
ARAP2,-0.1305549274,0.7706255107
POSTN,-0.3042362749,0.5115279801
MED13,-0.1571834742,0.653188205
IL6ST,-0.0366268248,1
SEMA3A,-0.0501651881,0.8549280988
MYCBP2,-0.0211764099,0.9414095391
BACH1,0.1314671641,0.7393682654
EDIL3,-0.3056579157,0.4487508485
LNPEP,-0.2663713237,0.2211364335
SGMS2,-0.292367266,0.1613173516
CPEB4,-0.1262253205,0.6016552104
TFRC,0.1601037901,1
DNAJC6,-0.0502825218,0.9431158845
EIF2AK3,0.0489869082,0.9212049727
PIK3R1,-0.3636459524,0.1020114541
IPMK,-0.2940794425,0.6242255323
HIST1H2BG,0.088571665,0.9178472614
IGFBP2,-0.1455494583,0.5832916715
COL6A1,0.1868930642,0.7365112359
RAPH1,0.0244189811,0.9486414189
ZNF701,-0.0791582142,0.8835784833
PRKAA2,-0.3314389014,0.3887680869
LEPR,-0.0914311497,0.8759205366
ZBTB21,-0.1127192769,0.740934353
USP53,-0.1705843021,1
ITGAV,0.1105756624,0.6772193074
FGD6,0.1817692792,0.2573838783
USP12,-0.2765408066,0.3384590937
SLC30A1,-0.2368906314,0.5510092232
ERO1LB,-0.2364278816,0.6901114967
OTUD4,0.0615417332,0.8455555137
RNF24,0.1315694983,0.7576927431
ASAP1,0.0425587385,0.883083881
SKIL,-0.0572825164,1
SMG1P1,0.0822543419,0.9111710146
AZIN1,-0.200547021,0.5387538495
NIPA1,0.0899210752,0.7734960088
ZSWIM6,0.0657257012,0.7853187072
PHF16,-0.1504077422,0.6770255974
RNF111,0.0529519572,0.8752817645
RBBP6,-0.1667166173,0.4888059605
ANKIB1,-0.0538956746,0.8609484391
ZBTB41,-0.3364427776,0.4047428032
SPRED1,0.0755068931,0.8826284182
BROX,-0.2398317959,0.4384957973
ZNF702P,-0.2120302465,0.5315865315
ACSL3,-0.0900810739,0.7500279342
ZNF800,-0.2114432236,1
NCOA3,-0.1596059727,0.3157782361
NUFIP2,-0.0679322578,0.7843522916
ERO1L,-0.0527008022,1
ATXN1L,0.0132208256,0.966344602
MTMR9,0.0426902535,0.9343688932
ZNF836,-0.036087977,0.9474523369
C1D,-0.4744675396,1
AFF1,0.0696425175,0.7027592467
UHMK1,-0.3301441468,1
SMCHD1,-0.2317239468,0.4779242658
NIPAL2,-0.2766366961,0.3182786351
FAM102A,-0.2382524917,0.3597332211
NFAT5,-0.1727917725,0.5175870708
NOMO3,0.1149978637,0.8109182337
FBXO30,-0.1661631352,0.6318623487
WIPF1,-0.1568053112,0.76328931
SLC30A4,-0.1249616763,0.8705925582
RNF38,-0.0578916056,0.891088257
ZNF426,0.1162731847,0.8131610312
HIF1A,-0.0153408363,0.9580649645
YES1,-0.1204463921,0.6342287661
FRS2,-0.2017910678,0.5750821657
CUL5,-0.1576459949,0.7183098403
ANKRD50,-0.2743316535,0.0891351357
RNF180,0.1368021724,0.8610584919
C16orf72,-0.1880954085,0.3299929515
TGFBR1,-0.0310042898,1
OSTM1,0.0365520967,0.9265442048
PIK3CA,-0.2225922609,0.5603245386
FAM126B,-0.2307902563,0.4817979537
CSGALNACT2,0.1758201669,0.5389576047
SIX5,0.0508300634,0.9422697368
HS3ST2,0.1719399535,0.8395904822
DSE,0.08497788,0.7393682654
RNASE7,0.0915260343,0.7943108607
TBC1D12,-0.1730367396,0.7082590555
MIER3,-0.3316147703,0.2375442676
VAMP2,0.0261757675,0.9440245387
ADAM9,-0.0514120309,0.8413016316
ZMPSTE24,-0.2374629736,1
ABL2,0.0413824607,0.8892552813
DMXL1,-0.2392632561,0.3193567691
SLC5A3,-0.0370429147,0.9426481558
B3GNT8,-0.1976961197,0.7815885362
BEND3P3,0.3750650135,1
REPS2,-0.0802052799,0.8997644969
PNPLA2,0.0896304247,1
SLC39A6,-0.1970545075,1
PTPRK,0.1314112407,0.4555684798
PRKD3,0.0823281871,0.85924201
SUZ12,-0.1381176393,0.7437820465
FEZ2,-0.1363499321,0.7500279342
UGDH,-0.207474455,0.3105614149
MAPK14,-0.0374470196,0.9242327688
CEP170,0.118734591,0.6591014952
CTTNBP2NL,0.0656932668,0.7631011294
YAP1,-0.1246445626,0.6039151783
TRA2A,-0.0583460246,0.8699055346
MIB1,-0.1639263183,1
CGGBP1,-0.2473201116,0.2594376061
BBX,-0.1970700597,0.3362741091
GTF2A1,-0.2862672268,0.3362573916
JAK1,0.1439962093,0.4530385831
IL1RAP,-0.163124057,0.378356134
NOP9,0.1162973954,0.6842972734
FAM91A1,-0.1320333229,0.7571297918
MTMR6,0.0142610045,0.9831272802
PKN2,-0.1927749899,0.4915099575
ZFP106,-0.1085480711,0.7183098403
MAFK,0.2829967473,0.4058378223
P4HA1,-0.0621456513,0.8586582008
TMEM30A,-0.2101302243,1
DPY19L4,-0.3618667202,0.192815054
RIF1,-0.2322774822,0.4334403109
SMG1,-0.0843075266,0.7325391543
ZHX1,-0.1403123086,0.5177840957
HIPK3,0.0421156019,0.89038159
ACAP2,-0.2230185914,0.1710815824
SNHG12,0.1409061856,0.7379913169
MAP3K10,0.1187031357,1
EGR1,-0.0483609786,0.89038159
KAL1,0.001337405,0.998851413
SCYL2,-0.0602773503,0.893993197
MALT1,0.1822907279,0.4662887525
ZNF28,-0.2283296781,1
TWISTNB,-0.06619089,0.8740249078
IL13RA1,-0.1217867569,0.5654249295
PTP4A1,-0.1540790771,1
RASSF8,-0.2601718999,0.4463519309
SHOC2,-0.1898762459,0.496610174
ZBED6,0.1310089367,0.7170743217
CCDC82,-0.2706771631,1
SLC16A1,0.0358997308,0.9042917797
MAGT1,-0.1400721263,0.6342287661
FRMD6,-0.0769894141,0.7772814571
SERINC3,-0.125260483,0.6962662438
CCDC91,-0.1792126781,1
DNAJB14,-0.0983015639,0.8496383629
DGKH,0.0513710118,0.9248621335
ZNF259,0.2333370869,0.2339586174
MET,0.0415020802,0.8729231425
NOMO2,0.1593144873,0.6489313905
PLEKHB2,-0.0101552896,0.9778072476
SECISBP2L,-0.2575646448,0.2211184275
MAN2A1,-0.1380694426,1
RLIM,-0.166823777,0.5273123161
ANO6,-0.0597165147,0.8349900121
SGK196,0.0999519797,0.8838958279
EXOC5,-0.2216753933,1
RPS6KA3,-0.036207361,1
SLC25A24,-0.192200545,0.4513536669
TCIRG1,0.0513042348,1
PAM,-0.0636911575,0.7697191255
AFF4,-0.0480817118,0.8215788048
DENND4C,-0.366312484,0.1060972322
FAM13B,-0.1827992375,0.6318623487
PRR14,0.1198504305,0.7683528557
CTDSPL2,-0.3039145402,0.3901356356
ATF2,-0.1234458953,0.6136188482
CCDC64B,0.1398384797,1
SETX,-0.1947697825,0.405285174
SPCS3,-0.1034177545,1
PPFIBP1,-0.0710203615,0.8044594057
KIF5B,-0.0448546386,0.8729231425
CCSER2,-0.1017420875,0.7742972584
CCDC68,-0.0801727466,0.891088257
CLN3,0.1865803416,0.5969563986
MTRF1L,0.0971204283,0.8763646235
ATP2C1,-0.038586404,0.8946667751
DPP8,-0.1150990893,0.6844892867
SUCO,-0.1725977321,1
SPAG9,0.0607864992,0.8490815356
USP38,-0.1564459652,0.6949609563
RPRD1A,-0.080818151,0.8687732458
PDLIM5,0.0838684422,0.7365112359
NDRG1,-0.0129948488,0.9551133559
KLHL11,-0.0312468065,0.9650213661
ACBD3,0.026496754,0.9404898355
C9orf16,0.0339146733,1
FMNL2,0.0548839535,0.8884799534
NCKAP1,-0.2603122497,1
PRNP,0.0011174541,0.9969893112
TMEM184C,-0.1390025789,0.5576097121
RAB14,-0.1813241228,0.6025271764
GNG12,-0.0223493626,1
JAG1,0.1737864031,0.203012128
PILRB,0.0146153084,0.9743966531
SDE2,0.1740125404,0.5587860682
UEVLD,-0.075367524,1
SFI1,0.1987110663,0.6289704909
CCDC6,-0.2776408602,0.1176513097
ARHGAP5,-0.4395550306,1
COG3,-0.0178895422,0.9649144004
WTIP,-8.51E-05,0.9999307194
SEPT10,-0.2185283651,0.3651341799
MID2,-0.2164622551,0.4986344222
WDR36,-0.1385877143,0.6538402548
UGCG,0.0965386177,0.8506574997
RAP1B,-0.1942303969,1
C10orf118,-0.2117292529,0.2478107027
MEX3C,0.0468566861,0.89038159
FKBP14,-0.0475671626,0.8889950559
RLF,-0.2822612476,1
SEL1L,-0.2598006032,0.0850180742
ZXDB,0.1088894466,0.8054577439
DOCK4,0.1947071529,0.5346365452
RAP2A,-0.0502248325,0.9325685294
ATP11C,-0.1329766889,0.69410153
PTAR1,-0.4348989854,0.1682159888
CRELD2,0.0961444596,0.8478721324
ITGA1,0.0609393411,0.9382230429
CCNT1,-0.1758137455,0.5079788802
ITGB6,-0.0378063208,0.8892230143
MAT2A,-0.0350588866,0.9016079707
SERINC1,-0.2465918802,0.0670659929
CALD1,-0.0590844981,0.7428175876
ATP13A3,-0.0100594584,1
AGO2,0.2758440601,0.2153637622
YTHDF3,-0.1163274771,0.608856922
TNPO1,-0.0683528619,0.8527889955
TRIM44,-0.0453251801,0.8702211211
NPC1,0.087252354,0.6572943753
C12orf49,-0.0411657009,0.9265442048
DHX36,-0.2504987685,0.4151762448
SLC39A9,-0.1105989982,0.6832097424
RIOK3,-0.1215334026,0.6217003874
FAM160B1,-0.0733701849,0.8662085785
TTBK2,-0.1454515505,0.7183098403
RBMS3,-0.3519225551,0.294386903
EAF1,-0.0308233381,0.9331575058
EPT1,-0.1771496727,0.644490935
ROCK2,-0.0991080816,0.7799372532
IPO11,-0.2567811207,0.5410002342
VPS41,-0.1499707047,0.5423083168
ZNF148,-0.1849275238,0.461631889
TMEM66,-0.0791562333,0.6555746004
ZNF24,-0.2468161083,1
MARCH6,0.0508059498,0.8797898574
MBTPS2,-0.0926681738,0.8897517628
DIP2B,-0.2693421521,0.1274349964
KIAA1715,-0.1128754729,0.7943108607
PDIA6,-0.012890683,0.9663280896
PNMA1,0.156384399,0.5778274747
RPL18A,0.2176902684,1
KIAA2018,-0.1800855655,0.6039151783
THSD4,0.029822394,0.9132513652
UBQLN1,0.0276068244,0.9227694088
TEAD1,-0.0967707932,0.7669004011
H1FX,-0.0914844015,1
TAOK1,-0.2140068254,0.3771265728
MOB1A,-0.2677267567,0.4473310582
GNB1,0.1003407481,0.6101625546
KLF11,-0.1419507699,0.7943108607
HSP90B1,-0.0233633213,0.9440245387
HSPA13,0.0455994702,0.937085018
PTPLB,-0.3748264362,1
RNF6,-0.1243982798,0.6034910417
GBE1,0.0729579553,0.8234383423
USP9X,-0.1054653962,0.5632623252
CDK13,-0.1161804581,0.5385533179
KRAS,-0.0615454974,0.8937734503
TGFBR3L,0.1109680073,0.9093672853
LEMD3,-0.0749760434,0.8752817645
ATP11B,-0.1461781626,0.6039151783
PRSS8,0.1321677402,0.6842972734
ANPEP,0.1669615298,0.855484044
PIK3C2A,-0.1240959219,0.6006211149
GALC,-0.1187077321,0.7522054484
NPTN,-0.0463008987,0.8650417341
TMEM87B,-0.0908783549,0.8159157963
CXADR,-0.1406352527,0.7261830642
RC3H2,-0.127141371,0.4859873414
NHLRC2,-0.1586708364,0.6957366322
CPD,-0.3155255063,0.1212407481
KLF12,-0.1782440896,0.6380609554
FER,-0.0681402744,0.89038159
ZFR,-0.1343375735,0.6254453504
MZT2B,-0.197465003,1
MAP3K2,-0.3167388914,0.1789349691
ASPH,-0.1099993831,0.522915033
KPNA1,-0.1809868784,0.4899015488
SDK1,-0.118105867,0.8812370965
ATAD1,-0.2037350422,0.3949821067
CELF2,-0.0427296286,0.891088257
ERCC4,0.0193685887,0.9686765145
YWHAQ,-0.0348180907,0.9173716935
CNST,0.0582142673,0.89038159
CERS6,-0.32824325,0.0958521352
LARP4,-0.0425704149,0.8830694524
NBEAL1,-0.1253789077,0.7772151302
FAM73A,0.0131502602,0.9802686554
MFHAS1,-0.0908363823,0.8465022349
CHUK,-0.0722441477,0.8791272766
UTP14C,-0.2312945048,0.3465369026
TBC1D9,-0.0912801462,0.7365112359
GALNT1,-0.2740316633,0.1427582654
MAFG,0.1736004861,0.5338041394
PPTC7,-0.0543100718,0.9265442048
USO1,-0.1021464224,0.6642292386
ARID4A,-0.2011583177,0.4878471415
KDM5A,-0.0300155949,0.9155064392
YWHAG,0.2017742488,0.1286399461
UBXN7,-0.2513981505,0.1678720724
SEMA3B,-0.1095498935,0.8436520581
BECN1,0.0480638764,0.8757563208
TRIP10,0.0945937588,0.7191064517
ACER3,-0.0661739548,0.9224281707
LRP12,0.0967887645,0.8119326279
SIK1,0.0436262443,0.9040654584
SEC24B,-0.1089318152,0.7424653381
RAB11FIP5,0.151095661,0.624451088
FBXO28,-0.0130284677,0.9802686554
PHLPP2,-0.0993097029,0.8064448676
API5,-0.0058653566,0.9865297016
ACSL4,-0.0417339297,0.9159326737
SCAF11,-0.1314874688,0.4369310969
TRIM33,-0.0331194592,0.9298966235
PRKAR1A,-0.0326037015,0.9013967748
PPP3R1,-0.0637392944,0.8603244862
TTC19,-0.1801693149,0.4973764487
AMMECR1L,0.1568681832,0.4267243817
BCLAF1,-0.0611899775,0.8293902892
ACTR2,-0.0794785161,0.8047778837
GSTP1,0.1001111187,0.7670767922
DHX15,0.0282269337,0.9041228304
ZKSCAN1,-0.1132393848,0.5544383555
NIPAL1,-0.0965367333,0.9020992914
PTCHD3P1,-0.0252189829,0.964318156
EHF,0.1816713223,0.459750313
CDK12,0.0538954108,0.8131610312
ANKRD12,-0.4872406556,1
TTC37,-0.1697247471,0.5389576047
PITPNB,0.033959423,0.937085018
TNFRSF25,0.0626044103,0.9221091745
MTMR12,-0.0021431871,0.9959357426
RPS15,0.1129710677,0.7303033619
TAB2,-0.0152161604,0.9590414398
ZNF268,-0.341470732,0.1588224678
EXT2,0.0915690667,0.7786091266
RAB3GAP1,-0.035877241,0.9097127723
BRWD1,-0.0788286909,1
SSFA2,-0.1408465216,0.565366814
CDH13,-0.0713387016,0.8318654126
PRKCI,-0.118493001,0.7522938136
ZNF470,-0.0839449311,0.8520887316
RASA1,0.0828180596,0.7889415849
CAPN2,0.0469474485,0.7886516862
NUBPL,-0.2013874646,0.6214789303
OSR1,0.114894347,1
MTX3,-0.4070071559,1
NPDC1,-0.0287242414,0.9663280896
ZBTB1,-0.1081109612,0.8064448676
LMTK3,0.0115621664,0.9877843846
CPNE3,-0.2158392549,0.4330300354
CHURC1,-0.3701716272,0.0529367069
CHM,-0.1312291569,0.5658352742
PLEKHN1,-0.0412290732,0.9431158845
FBXW11,-0.0811530477,0.7886516862
MCTP1,-0.1931609714,0.7164828894
TTL,0.0455434169,0.8761075982
ARIH1,-0.1007863298,0.7866091054
ITGA6,-0.1588686426,0.5580475723
UXT,0.0894877277,0.7860968236
TAF2,0.0124156835,0.9780824656
TMTC3,-0.3781782141,1
MIR22HG,0.1018400316,0.747234571
KPTN,0.3722249777,0.3360348225
BDP1,-0.0215055856,0.9638410003
SCAF8,-0.1566365075,0.4924259856
PPP4R1,0.2722852335,0.0610492802
IGFBP4,0.2496339574,0.0749463013
TOP1,0.0436672116,0.8893412027
WDR44,-0.0521853321,0.8893085969
DNAJC10,-0.1433314713,1
GPR155,-0.3494591736,0.1399794738
DSCR3,-0.0116244891,0.9743966531
UBE2H,-0.0180331423,0.9453945387
ARHGEF19,-0.128218151,0.872385373
DDRGK1,0.1398839954,0.5014826149
PHC3,-0.2013449106,0.4410797644
SMC5,-0.1463926746,0.7052292516
PTPN14,-0.0505756765,0.8653063804
PIKFYVE,-0.043617838,0.9155064392
S100A16,0.1508735767,0.5331818395
HBS1L,-0.0880862878,0.7173707498
APP,0.0893664909,0.5632623252
SEC23A,0.0711948849,0.8131610312
LTN1,-0.3325784015,1
AGFG1,-0.0959929743,1
MAN1A2,-0.2860138882,0.0738187363
SPG11,-0.1702813589,0.4696982801
LEPROT,-0.2618759278,1
FUBP3,0.0441486933,0.89038159
SPTY2D1,-0.0425513828,0.9072823955
SLMAP,0.0434285472,0.9041228304
CHMP4B,0.2053658068,0.3363722113
SEMA3C,0.1021765065,0.6750601178
STT3B,-0.1499382788,0.5632623252
MARCH7,-0.0906214318,0.8159157963
TMEM134,0.0619059426,0.9404898355
SLK,-0.2750941312,0.0568111292
G3BP2,-0.2127854968,1
CAND1,-0.237495303,1
N4BP2,-0.1386211364,0.8050345447
RECQL,-0.2378879122,1
RPL32,0.0019937906,0.9955942877
KIAA0368,0.0277023997,0.9227694088
CSNK1G1,-0.1803869889,0.2869947242
AXL,-0.083034058,0.7362915541
PTOV1,0.0949301313,0.8142442967
FKBP8,0.1000905996,1
ITCH,-0.0734125053,0.7740280619
ETF1,0.003899853,0.992892094
PGLS,0.1552287959,0.6670701833
ZNF703,-0.1993857923,0.5725595326
RFNG,0.1914561098,0.708475473
ALG11,-0.3067616394,0.6233260036
PPP1R12C,0.0794307008,0.8599222175
EDEM3,-0.0573626782,0.896983723
MCFD2,-0.0059556744,0.986552987
MKLN1,-0.1872619678,0.3645085387
LLGL2,0.2086144156,0.6562799446
MPG,0.1743239973,1
WDR18,0.068300885,0.9291635894
ADCY7,0.0668203695,0.8485051904
CDK14,-0.0616892249,0.8829612954
RAD54L2,0.1878649382,0.4973764487
NUDT22,0.1287733693,0.8357354995
ITPR2,-0.0877311006,0.8053763539
SMURF2,0.1418760605,0.6024255628
WDR48,-0.1089171923,0.7791756235
CDK6,-0.1669224694,1
STAG2,-0.1200823014,0.7170743217
LATS1,-0.0414715715,0.917389688
SELO,0.1441627642,1
DECR1,-0.0637832046,0.8518471479
GNAQ,-0.01566089,0.976273966
DOCK7,0.0334900601,0.9224176368
MAP9,-0.3385095091,1
TMCO3,0.0392998537,0.8960634429
FAM189B,0.1481844311,0.5834046067
DNAH11,0.0957546377,0.8600047638
UBE3A,-0.1697650857,1
FUOM,0.3189993458,0.4859873414
PHLDA3,-0.0180665546,0.975319469
ZNF518B,-0.1336086089,0.6295280813
CSDE1,-0.0096901098,0.9741964109
ATXN1,0.0081230097,0.9884345849
XPO4,-0.0985497278,0.8249977884
ADAM17,0.0043899904,0.9897766093
FAM63B,-0.136270634,0.7365112359
GNPTAB,0.0490704407,0.8485387246
H2AFX,-0.0491317707,0.9325685294
NDUFS8,0.1167700293,1
MVB12A,0.3807641446,0.1261708809
SAMD8,-0.0714963395,0.8368997838
MFAP3,-0.2805854504,0.1696604057
INTS2,-0.1067219703,0.8659525797
PITPNA,0.1121353959,0.6842923638
RNH1,0.1678556547,1
RRP15,0.0523092839,0.9291777413
RASA2,-0.1219112789,0.866613179
SLC12A2,0.0933289027,0.868005194
GPATCH2L,0.0610692671,0.8960634429
C16orf13,0.0890141032,0.860645688
CRIM1,-0.1003877746,0.6560684863
NEDD4L,0.1591647735,0.3641104104
MAP3K7,0.0853937855,0.7853187072
LIMS1,-0.2637439648,0.4910679077
FBXL15,0.3048455031,0.5767971738
ROBO3,0.2277951236,0.6250449007
BRMS1,-0.0973294518,0.7365112359
CAPN10,0.2510203354,1
ZFP91,-0.0958681772,0.8131610312
PEF1,0.1219021806,0.6116469621
TBC1D8B,-0.1596840042,0.7631152569
HNRNPH1,-0.0098549357,0.9713643963
RASIP1,0.3980711881,0.3901356356
DDX21,-0.0318225382,0.9415374654
ATE1,0.079937938,0.8875400946
APPBP2,-0.3149258671,0.0803956022
EIF4G2,-0.0032463644,0.9916394549
ANO9,0.1685410884,1
ITGB1,-0.0129818195,0.9664570653
RASAL2,-0.1230765118,0.546177006
EDEM1,0.0752739956,0.7110330542
TMEM39A,0.02817584,0.9437229838
CYFIP1,0.1840796626,0.2079394087
CPNE7,0.2836001704,0.4696982801
GTF2H3,-0.0134466457,0.9768646531
MAPK6,-0.1778289211,0.3139129078
XRN2,0.0576319487,0.8061208927
BTBD7,0.0100022787,0.9808120618
KIAA1430,-0.1150873914,0.7259403629
SLC38A1,-0.0899218705,0.7522938136
CHMP2A,0.2230490386,0.3901798075
TSPYL1,-0.0211951928,0.9426177912
ZNF644,-0.2684757349,1
KIAA1551,-0.2925279155,1
CEP104,0.0550107227,0.8710042183
TRAPPC5,0.1243058657,1
RPL18,0.0834120075,1
STON2,-0.2418086626,0.1056224325
DUOX1,-0.0922726431,0.8167684119
ZDHHC24,0.1094192925,0.8960634429
AKAP11,-0.2415376882,0.3105614149
FAM108A1,0.0023174884,1
CYP51A1,0.0506649343,0.8539063021
GLA,0.283857373,0.3381400348
FAM193B,0.0926587685,0.7777787653
DPP7,-0.0456262995,1
ERBB2IP,-0.2774011639,0.1555580137
RNF169,0.0051712899,0.9899373212
EXOC6B,-0.1660583863,0.3789202527
PRKX,-0.0751474541,0.7156591486
COG5,0.0380775442,0.9291635894
CRK,-0.031425652,0.9173716935
TMEM175,-0.3189178453,0.5323021302
POLR3A,0.0757325603,0.7818425234
ALDH16A1,0.045835649,0.9553745461
PDLIM4,0.106250651,0.825987388
MRPL18,0.2413564514,0.3648378302
PCNX,-0.0659809796,0.7472532358
SLC4A7,-0.1802505403,0.5109663722
ZNF468,-0.3809653578,0.0626174919
RBM42,0.084820552,0.8372708244
GPR126,-0.1955564871,0.496610174
KPNA3,-0.1562950505,0.6950239727
TMEM259,0.0907056896,0.8392153916
FBN1,-0.2274035786,0.7014398558
RHOD,-0.1073392474,0.7720726331
